"Horodateur","Quelle est votre tranche d’âge ?","Quel est votre sexe ?","Quelle est votre situation professionnelle ?","En moyenne, à quelle fréquence prenez-vous le RER D ?","Quelles sont les tranches horaires dans lesquelles vous prenez le RER D ? ","Quelle est la durée moyenne de vos trajets ?","Quelles sont les raisons de vos trajets ?","Sur quelle.s partie.s de la ligne vous déplacez-vous ?","Vous sentez-vous pressé par le temps lorsque vous devez prendre les transports ?","Avez-vous l’habitude d’attendre sur les quais ?","Ressentez-vous de l’impatience lorsque vous attendez votre train ?","Sur le quai, avez-vous tendance à vous déplacer (marcher, changer de place, faire des allers-retours) ?  ","Pendant l’attente sur le quai, avez-vous l’impression que le temps passe :","Regardez-vous fréquemment les panneaux ou horaires des trains lorsque vous êtes sur le quai ?","Quelles activités réalisez-vous en général sur les quais lorsque vous attender le RER D ?","Quelles activités réalisez-vous en général durant votre trajet à bord du RER D ?","Si vous avez mentionné l’usage du téléphone dans les questions précédentes, quelles sont les activés que vous effectuez sur celui-ci ?","Pourquoi faire ces activités (sur les quais et à bord du RER D) ?","Ces activités ont-elles été anticipées à l’avance ?","Ressentez-vous le sentiment de toujours devoir faire quelque chose (de productif ou non) dans les transports ?","Lorsque vous ne faites “rien” dans le RER D (ne pas utiliser de téléphone, ne pas travailler…), vous avez le sentiment que :","Utilisez-vous des écouteurs ou un casque durant votre trajet ?","La voix automatique et/ou les bruits réalisés par les autres usagers perturbent-ils vos activités ?","La foule et la présence de beaucoup de voyageurs impactent-elles vos activités ?","Vous placez-vous à un endroit particulier du train pour faciliter la descente ?","De manière général, comment qualifieriez-vous le temps de transport dans le RER D ? ","Utilisez-vous des applications pour suivre les horaires des trains en temps réel ?","De manière générale, avez-vous l’impression que le temps passe de plus en plus rapidement, que vous manquez de temps ou de vous sentir submergé ?","De manière générale, ressentez-vous une certaine difficulté à gérer votre temps ? "
"2026/02/13 4:21:10 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30)","30-60 minutes","Les études;Pour des loisirs/sorties","Paris – Corbeil-Essonnes","Oui","Oui","Parfois","Oui","Lentement","Parfois","J'écoute de la musique, je regarde parfois mon téléphone pour répondre à un message ou autre. Et je regarde les panneaux d'affichage.","Je continue d'écouter de la musique, et la plus part du temps en regardant par la fenêtre du wagon. Je regarde aussi parfois mon téléphone.","J'écoute de la musique, je réponds à des messages. Et rarement je travaille ou regarde les réseaux sociaux.","Pour passer le temps, et parce que j'ai le mal des transports si je reste trop sur l'écran.","Parfois","Oui","C’est rare","Oui","Parfois","Non","Quand j’en ai la possibilité","Pour moi c'est un temps plutôt long, ou il est difficile de pouvoir réaliser certaines activités. Mais c'est quand même pratique de pouvoir ce déplacer, en étant assis. Cela permet une sorte de pause même si on aimerait parfois faire autre chose à la place d'être dans le train.","Oui","Oui","Parfois"
"2026/02/13 4:39:59 PM UTC+1","Entre 18 et 30 ans","Femme","En recherche d'emploi ","Plusieurs fois par semaine","En début d’après-midi (13h-16h30);En soirée (19h30-1h30)","15-30 minutes","Pour des loisirs/sorties","Paris – Corbeil-Essonnes","Oui","Oui","Parfois","Parfois","Lentement","Oui","Téléphone","Téléphone ","Appel et réseaux sociaux ","Pour s'occuper et passer le temps","Parfois","Parfois","C’est normal","Oui","Non","Parfois","Oui","Bonder le matin ainsi que le soir et tranquille l'après midi.","Oui","Oui","Oui"
"2026/02/13 4:46:47 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par mois","En début d’après-midi (13h-16h30);En soirée (19h30-1h30)","30-60 minutes","Pour des loisirs/sorties","Juvisy – Corbeil-Essonnes;Paris – Corbeil-Essonnes","Oui","Oui","Oui, la plupart du temps","Oui","Lentement","Oui","j’ecoute de la musique et je suis sur mon téléphone la plupart du temps ","j’aime personnellement regarder le paysage, bien qu’il ne soit pas magnifique, j’aime observer les changements urbains, je suis également sur mon telephone sur les réseaux sociaux, et je lis lorsque j’ai un livre avec moi","les réseaux sociaux ","pour ne pas m’ennuyer et dans des situations où je suis inconfortable (lorsque que je sens la présence malsaine d’un homme) pour montrer que je suis occupé ","Parfois","Non","C’est normal","Oui","Parfois","Non","Quand j’en ai la possibilité","Long ","Oui","Parfois","Oui"
"2026/02/13 4:48:46 PM UTC+1","Entre 18 et 30 ans","Homme","En étude post-bac","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30)","30-60 minutes","Les études","Melun -corbeil","Parfois","Oui","Oui, la plupart du temps","Oui","Lentement","Oui","Musique","musique","","faire passer le temps ","Non","Oui","C’est rare","Oui","Parfois","Parfois","Oui","chiant","Non","Parfois","Oui"
"2026/02/13 4:51:46 PM UTC+1","Entre 18 et 30 ans","Femme","En emploi","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30);En début d’après-midi (13h-16h30);En soirée (19h30-1h30)","30-60 minutes","Le travail;Pour des loisirs/sorties","Paris – Corbeil-Essonnes","Parfois","Oui","Parfois","Oui","Lentement","Oui","Écouter de la musique ou être en appel","Écouter de la musique et regarder dehors","Envoyé des messages ou être au téléphone ","Parce que c’est long","Parfois","Parfois","C’est inconfortable","Oui","Parfois","Oui","Quand j’en ai la possibilité","Long et surtout angoissant vu que des hommes me fixe du regard où viennes s’asseoir a côté de moi + les retards ou train supprimé ","Oui","Parfois","Parfois"
"2026/02/13 5:03:08 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30)","Moins de 15 minutes","Les études;Pour des loisirs/sorties","Juvisy – Corbeil-Essonnes;Paris – Corbeil-Essonnes","Oui","Parfois","Parfois","Oui","Normalement","Oui","Scroll sur tiktok , écouter de la musique ","Scroll sur TikTok , écouter de la musique ","TikTok , Insta , écouter de la musique ou regarder une série ","Pour faire passer le temps et rendre le trajet moins ennuyant.","Parfois","Parfois","C’est rare","Oui","Parfois","Parfois","Quand j’en ai la possibilité","Rapide quand il n’y a pas de retard ou de train supprimé  ","Oui","Parfois","Parfois"
"2026/02/13 5:09:05 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30)","15-30 minutes","Les études","Juvisy – Corbeil-Essonnes","Non","Parfois","Oui, la plupart du temps","Non","Normalement","Oui","Je suis sur mon téléphone ou j’écoute de la musique.","Rien je regarde les gens ou par la fenêtre.","Je vais sur les réseaux sociaux (insta, TikTok)","Pour faire passer le temps.","Non","Non","C’est normal","Oui","Oui mais surtout en ce qui concerne les gens qui mâchent un C.gum fort ou qui reniflent.","Non","Oui","Bah normal ","Oui","Non","Non"
"2026/02/13 5:36:22 PM UTC+1","Entre 18 et 30 ans","Homme","En étude post-bac","Rarement","En début d’après-midi (13h-16h30)","15-30 minutes","Les études","Juvisy – Corbeil-Essonnes","Parfois","Oui","Oui, la plupart du temps","Non","Lentement","Oui","Je regarde souvent mon telephone","Je regarde mon souvent mon telephone","J'ecoute de la musique","Afin de faire passer le temps ","Non","Non","C’est rare","Oui","Non","Parfois","Oui","Le temps peut sembler tres long au vu de chaque arrêt desservi et notamment lorsqu'il y a des probleme sur la ligne c'est un temps qui peut être lourd","Non","Oui","Oui"
"2026/02/13 5:54:02 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par mois","Aux heures de pointes (7h30-9h30 et 16h30-19h30);En début d’après-midi (13h-16h30);En soirée (19h30-1h30)","30-60 minutes","Pour des loisirs/sorties","Paris – Corbeil-Essonnes","Oui","Oui","Oui, la plupart du temps","Oui","Lentement","Oui","J'écoute de la musique, je joue à un jeu sur mon telephone ou je lis","Idem ","Musique, jeux ou réseaux sociaux","Ça fait passer le temps","Non","Oui","Je m'ennuie à mourir","Oui","Parfois","Non","Parfois","Long à en mourir","Parfois","Ça depend des fois. Si je veux rentrer en soirée, vu que les transports s'arrêtent tôt, alors oui.","Parfois"
"2026/02/13 6:08:32 PM UTC+1","Entre 18 et 30 ans","Femme","En étude post-bac","Plusieurs fois par semaine","Aux heures de pointes (7h30-9h30 et 16h30-19h30);Dans la fin de matinée (9h30-13h);En début d’après-midi (13h-16h30)","15-30 minutes","Les études","Juvisy – Corbeil-Essonnes","Oui","Oui","Parfois","Non","Normalement","Oui","","Écouter de la musique ","","Pour passer le temps ","Non","Non","C’est rare","Oui","Parfois","Non","Quand j’en ai la possibilité","Relativement tranquille ","Oui","Parfois","Parfois"
